Material,"Strength, Mpa",Yield Strength,"Elongation in 2 in, %","Reduction in Area, %",Brinell Hardness
1006-HR,300 (43),170 (24),30,55,86
1006-CD,330 (48),280 (41),20,45,95
G10060-HR,300 (43),170 (24),30,55,86
G10060-CD,330 (48),280 (41),20,45,95
1010-HR,320 (47),180 (26),28,50,95
1010-CD,370 (53),300 (44),20,40,105
G10100-HR,320 (47),180 (26),28,50,95
G10100-CD,370 (53),300 (44),20,40,105
1015-HR,340 (50),190 (27.5),28,50,101
1015-CD,390 (56),320 (47),18,40,111
G10150-HR,340 (50),190 (27.5),28,50,101
G10150-CD,390 (56),320 (47),18,40,111
1018-HR,400 (58),22.0 (32),25,50,116
1018-CD,440 (64),370 (54),15,40,126
G10180-HR,400 (58),22.0 (32),25,50,116
G10180-CD,440 (64),370 (54),15,40,126
1020-HR,380 (55),210 (30),25,50,111
1020-CD,470 (68),390 (57),15,40,131
G10200-HR,380 (55),210 (30),25,50,111
G10200-CD,470 (68),390 (57),15,40,131
1030-HR,470 (68),260 (37.5),20,42,137
1030-CD,520 (76),440 (64),12,35,149
G10300-HR,470 (68),260 (37.5),20,42,137
G10300-CD,520 (76),440 (64),12,35,149
1035-HR,500 (72),270 (39.5),18,40,143
1035-CD,550 (80),460 (67),12,35,163
G10350-HR,500 (72),270 (39.5),18,40,143
G10350-CD,550 (80),460 (67),12,35,163
1040-HR,520 (76),290 (42),18,40,149
1040-CD,590 (85),490 (71),12,35,170
G10400-HR,520 (76),290 (42),18,40,149
G10400-CD,590 (85),490 (71),12,35,170
1045-HR,570 (82),310 (45),16,40,163
1045-CD,630 (91),530 (77),12,35,179
G10450-HR,570 (82),310 (45),16,40,163
G10450-CD,630 (91),530 (77),12,35,179
1050-HR,620 (90),340 (49.5),15,35,179
1050-CD,690 (100),580 (84),10,30,197
G10500-HR,620 (90),340 (49.5),15,35,179
G10500-CD,690 (100),580 (84),10,30,197
1060-HR,680 (98),370 (54),12,30,201
G10600-HR,680 (98),370 (54),12,30,201
1080-HR,770 (112),42.0 (61.5),10,25,229
G10800-HR,770 (112),42.0 (61.5),10,25,229
1095-HR,830 (120),460 (66),10,25,248
G10950-HR,830 (120),460 (66),10,25,248
